id,issue_d,loan_status,loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,annual_inc,dti,emp_length,home_ownership,verification_status,purpose,addr_state,application_type,fico_range_low,fico_range_high,earliest_cr_line,revol_util,open_acc,total_acc,delinq_2yrs,pub_rec,inq_last_6mths,is_default
130294976,Mar-2018,Fully Paid,1000.0,1000.0, 36 months,5.31,30.12,A,A1,31000.0,5.73,10+ years,MORTGAGE,Source Verified,credit_card,FL,Individual,695.0,699.0,Sep-2005,85.2,10.0,18.0,0.0,0.0,3.0,0
135932228,Jun-2018,Fully Paid,2500.0,2500.0, 36 months,5.31,75.28,A,A1,35000.0,7.06,5 years,MORTGAGE,Not Verified,credit_card,TX,Individual,765.0,769.0,Oct-2003,8.8,16.0,27.0,0.0,0.0,1.0,0
132183729,Apr-2018,Fully Paid,3000.0,3000.0, 36 months,5.31,90.34,A,A1,190000.0,8.57,3 years,MORTGAGE,Not Verified,debt_consolidation,CA,Individual,805.0,809.0,Jun-2007,8.5,15.0,35.0,0.0,0.0,0.0,0
129324266,Feb-2018,Fully Paid,3000.0,3000.0, 36 months,5.31,90.34,A,A1,60000.0,15.38,5 years,OWN,Source Verified,house,AZ,Individual,805.0,809.0,May-2003,6.5,12.0,17.0,0.0,0.0,0.0,0
129249687,Feb-2018,Fully Paid,3000.0,3000.0, 36 months,5.31,90.34,A,A1,58000.0,1.32,10+ years,RENT,Not Verified,major_purchase,CT,Individual,780.0,784.0,Nov-2005,8.8,8.0,15.0,0.0,0.0,0.0,0
133162038,May-2018,Fully Paid,3000.0,3000.0, 36 months,5.31,90.34,A,A1,32000.0,14.22,10+ years,OWN,Not Verified,debt_consolidation,WV,Individual,820.0,824.0,Oct-1998,4.0,7.0,18.0,0.0,0.0,0.0,0
132984286,May-2018,Fully Paid,3000.0,3000.0, 36 months,5.31,90.34,A,A1,50000.0,7.06,10+ years,RENT,Not Verified,debt_consolidation,CA,Individual,745.0,749.0,Apr-2013,20.6,4.0,6.0,0.0,0.0,3.0,0
129392962,Feb-2018,Fully Paid,3625.0,3625.0, 36 months,5.31,109.15,A,A1,105000.0,4.31,5 years,RENT,Source Verified,medical,MA,Individual,785.0,789.0,Aug-2005,0.1,7.0,15.0,0.0,0.0,0.0,0
129647002,Mar-2018,Fully Paid,5000.0,5000.0, 36 months,5.31,150.56,A,A1,50000.0,2.47,10+ years,RENT,Not Verified,major_purchase,NJ,Individual,775.0,779.0,Jun-2003,6.7,17.0,31.0,0.0,0.0,0.0,0
135000810,Jun-2018,Fully Paid,5000.0,5000.0, 36 months,5.31,150.56,A,A1,120000.0,7.88,2 years,MORTGAGE,Not Verified,car,AZ,Individual,820.0,824.0,Mar-2003,3.0,12.0,16.0,0.0,0.0,0.0,0
133968763,May-2018,Fully Paid,6000.0,6000.0, 36 months,5.31,180.67,A,A1,105000.0,6.59,6 years,MORTGAGE,Not Verified,home_improvement,CA,Joint App,820.0,824.0,Apr-2005,10.1,11.0,28.0,0.0,0.0,0.0,0
135753031,Jun-2018,Fully Paid,6500.0,6500.0, 36 months,5.31,195.72,A,A1,48000.0,3.65,,OWN,Not Verified,debt_consolidation,SC,Individual,800.0,804.0,Jun-1991,21.1,5.0,13.0,0.0,0.0,0.0,0
130352689,Mar-2018,Fully Paid,7200.0,7200.0, 36 months,5.31,216.8,A,A1,60000.0,32.22,10+ years,MORTGAGE,Not Verified,credit_card,NY,Individual,805.0,809.0,Mar-2002,9.4,19.0,38.0,0.0,0.0,0.0,0
130851543,May-2018,Fully Paid,8000.0,8000.0, 36 months,5.31,240.89,A,A1,83500.0,9.55,3 years,RENT,Source Verified,debt_consolidation,TX,Individual,765.0,769.0,Nov-1988,13.0,15.0,26.0,0.0,0.0,0.0,0
131718298,Apr-2018,Fully Paid,8000.0,8000.0, 36 months,5.31,240.89,A,A1,175000.0,6.1,10+ years,MORTGAGE,Not Verified,credit_card,CA,Individual,740.0,744.0,Feb-1996,0.4,15.0,46.0,0.0,0.0,1.0,0
130654048,Mar-2018,Fully Paid,8000.0,8000.0, 36 months,5.31,240.89,A,A1,80000.0,13.34,10+ years,MORTGAGE,Not Verified,debt_consolidation,CA,Individual,805.0,809.0,Mar-2002,4.8,13.0,23.0,0.0,0.0,0.0,0
135612504,Jun-2018,Fully Paid,8000.0,8000.0, 36 months,5.31,240.89,A,A1,54000.0,17.04,,MORTGAGE,Verified,debt_consolidation,NV,Individual,710.0,714.0,Jan-2004,14.3,10.0,53.0,0.0,0.0,2.0,0
129868079,Mar-2018,Fully Paid,8000.0,8000.0, 36 months,5.31,240.89,A,A1,60000.0,24.92,10+ years,MORTGAGE,Not Verified,credit_card,AR,Individual,780.0,784.0,Apr-2005,29.2,8.0,22.0,0.0,0.0,0.0,0
132114083,Apr-2018,Fully Paid,8500.0,8500.0, 36 months,5.31,255.94,A,A1,115000.0,1.04,10+ years,OWN,Source Verified,debt_consolidation,IN,Individual,790.0,794.0,Apr-1995,5.1,13.0,28.0,0.0,0.0,2.0,0
133780693,Jun-2018,Fully Paid,8500.0,8500.0, 36 months,5.31,255.94,A,A1,50000.0,16.85,1 year,RENT,Source Verified,credit_card,KS,Individual,750.0,754.0,Dec-2003,20.5,13.0,14.0,1.0,0.0,1.0,0
131476918,Apr-2018,Fully Paid,9000.0,9000.0, 36 months,5.31,271.0,A,A1,98000.0,10.81,,MORTGAGE,Not Verified,credit_card,MD,Individual,770.0,774.0,Jan-2005,35.8,3.0,38.0,0.0,0.0,0.0,0
130105844,Mar-2018,Fully Paid,9000.0,9000.0, 36 months,5.31,271.0,A,A1,85000.0,16.01,10+ years,MORTGAGE,Not Verified,debt_consolidation,TN,Individual,780.0,784.0,Jan-2007,11.4,15.0,27.0,0.0,0.0,0.0,0
130307784,Mar-2018,Fully Paid,9000.0,9000.0, 36 months,5.31,271.0,A,A1,50000.0,31.01,2 years,MORTGAGE,Not Verified,debt_consolidation,IN,Joint App,740.0,744.0,Jul-1996,12.0,12.0,26.0,0.0,0.0,0.0,0
135046436,Jun-2018,Fully Paid,10000.0,10000.0, 36 months,5.31,301.11,A,A1,120000.0,32.08,5 years,MORTGAGE,Not Verified,credit_card,ME,Individual,725.0,729.0,Apr-1999,28.6,30.0,77.0,0.0,0.0,1.0,0
133625201,May-2018,Fully Paid,10000.0,10000.0, 36 months,5.31,301.11,A,A1,98600.0,13.09,,MORTGAGE,Source Verified,home_improvement,NY,Individual,790.0,794.0,May-2005,1.1,35.0,69.0,0.0,0.0,1.0,0
135101785,Jul-2018,Fully Paid,10000.0,10000.0, 36 months,5.31,301.11,A,A1,95000.0,6.66,10+ years,OWN,Not Verified,credit_card,SC,Individual,825.0,829.0,May-1999,6.9,7.0,22.0,0.0,0.0,0.0,0
